T/K,Cp0/(J/(mol*K)),H0T-H0298.15/(J/mol),S0T/(J/(mol*K)),-(G0T-H0298.15)/T/(J/(mol*K)),-DelfH0/(kJ/mol),-DelfG0/(kJ/mol)
298.15,109.4,0,113.70,113.70,961.536,884.475
300,109.8,203,114.38,113.70,961.512,883.998
400,108.4,10823,144.93,117.87,960.818,858.275
500,114.6,21978,169.79,125.84,960.126,832.719
600,120.0,33711,191.17,134.98,959.359,807.309
700,124.9,45959,210.04,144.38,958.531,782.033
800,129.3,58672,227.01,153.67,957.646,756.877
900,133.4,71813,242.48,162.69,956.698,731.839
980,136.6,82614,253.98,169.68,955.869,711.977
980,136.6,82614,253.98,169.68,960.319,711.978
1000,137.3,85353,256.75,171.39,960.149,706.820
1100,141.0,99271,270.01,179.76,959.071,681.537
1200,144.6,113552,282.43,187.80,957.778,656.365
1300,148.0,128183,294.14,195.54,956.269,631.302
1360,150.1,137127,300.87,200.04,955.260,616.425
1360,150.1,137127,300.87,200.04,959.500,616.424
1400,151.4,143157,305.24,202.98,959.086,606.242
