Dt	Dm	Lo	nv	Ln	sn	Fn	c	Cat.no	Fn	c	Cat.no
2	20	41	3.5	13.6	27.4	159	5.83	6120	148	5.42	6145
2	20	62.	5.5	19.2	42.8	159	3.71	6121	148	3.45	6146
2	20	94.	8.5	27.6	66.4	159	2.39	6122	148	2.22	6147
2	20	135.	12.5	38.8	96.2	159	1.63	6123	148	1.52	6148
2	20	200.	18.5	55.6	144	159	1.10	6124	148	1.02	6149
2	25	58.	3.5	15	43	127	2.98	6125	118	2.77	6150
2	25	88.5	5.5	21.4	67.1	127	1.9	6126	118	1.77	6151
2	25	135.	8.5	31	104	127	1.23	6127	118	1.14	6598
2	25	195.	12.5	43.8	151	127	0.83	6128	118	0.77	6152
2	25	290.	18.5	63	227	127	0.57	6129	118	0.53	6153
2.5	12.5	22	3.5	14	8	468	58.3	6154	435	54.2	6179
2.5	12.5	32	5.5	19.5	12.5	468	37.2	6155	435	34.59	6180
2.5	12.5	47.5	8.5	27.8	19.7	468	24	6156	435	22.32	6181
2.5	12.5	67.5	12.5	38.7	28.8	468	16.3	6157	435	15.16	6182
2.5	12.5	98.	18.5	55.1	42.9	468	11	6158	435	10.23	6183
2.5	16	27.5	3.5	14.6	12.9	365	27.8	6159	339	25.85	6184
2.5	16	41	5.5	20.5	20.5	365	17.7	6160	339	16.46	6185
2.5	16	61	8.5	29.3	31.7	365	11.5	6161	339	10.69	6186
2.5	16	88.	12.5	41.1	46.9	365	7.78	6162	339	7.23	6187
2.5	16	130.	18.5	58.9	71.1	365	5.25	6163	339	4.88	6188
2.5	20	36	3.5	15.5	20.5	292	14.2	6164	271	13.2	6189
2.5	20	54	5.5	21.9	32.1	292	9.05	6165	271	8.41	6190
2.5	20	81.5	8.5	31.5	50	292	5.85	6166	271	5.44	6191
2.5	20	120.	12.5	44.3	75.7	292	3.98	6167	271	3.7	6192
2.5	20	175.	18.5	63.6	111	292	2.69	6168	271	2.5	6193
2.5	25	49	3.5	16.8	32.2	233	7.29	6169	217	6.78	6194
2.5	25	74.5	5.5	24	50.5	233	4.64	6170	217	4.31	6195
2.5	25	115.	8.5	34.8	80.2	233	3	6171	217	2.79	6196
2.5	25	165.	12.5	49.2	116	233	2.04	6172	217	1.89	6197
2.5	25	240.	18.5	70.8	169	233	1.38	6173	217	1.28	6198
2.5	32	71.5	3.5	19.3	52.2	182	3.48	6174	169	3.23	6199
2.5	32	110.	5.5	27.9	82.1	182	2.22	6175	169	2.06	6200
2.5	32	170.	8.5	40.7	129	182	1.43	6176	169	1.36	6201
2.5	32	245.	12.5	58.1	187	182	0.97	6177	169	0.9	6202
2.5	32	360.	18.5	83.9	276	182	0.66	6178	169	0.61	6203
3.2	16	27.5	3.5	17.8	9.7	721	74.3	6204	670	69.1	6740
3.2	16	40	5.5	24.9	15.1	721	47.4	6205	670	44.1	6741
3.2	16	59	8.5	35.4	23.6	721	30.7	6206	670	28.55	6742
3.2	16	83.5	12.5	49	34.5	721	20.8	6207	670	19.35	6743
3.2	16	120.	18.5	69.4	50.6	721	14.1	6208	670	13.11	6744
3.2	20	33.5	3.5	18.5	15	577	38.1	6209	537	35.43	6745
3.2	20	49.5	5.5	25.9	23.6	577	24.2	6210	537	22.5	6746
3.2	20	74	8.5	37.1	36.9	577	15.7	6211	537	14.6	6747
3.2	20	105.	12.5	51.6	53.4	577	10.7	6212	537	9.95	6748
3.2	20	155.	18.5	73.2	81.8	577	7.21	6213	537	6.7	6749
3.2	25	42.5	3.5	19.1	23.4	461	19.4	6214	429	18.04	6750
3.2	25	63.5	5.5	26.3	37.2	461	12.4	6215	429	11.53	6751
3.2	25	94.5	8.5	37.1	57.4	461	8.02	6216	429	7.45	6752
3.2	25	135.	12.5	51.6	83.4	461	5.45	6217	429	5.06	6753
3.2	25	200.	18.5	73.2	127	461	3.68	6218	429	3.42	6754
3.2	32	58.6	3.5	19.8	38.7	361	9.31	6219	336	8.65	6755
3.2	32	88.5	5.5	27.4	61.1	361	5.92	6220	336	5.5	6756
3.2	32	135.	8.5	38.8	96.2	361	3.82	6221	336	3.55	6757
3.2	32	190.	12.5	54.1	136	361	2.61	6222	336	2.42	6758
3.2	32	280.	18.5	77	203	361	1.76	6223	336	1.64	6759
