Dt	Dm	Lo	nv	Fn	Ln	sn	c	Cat.no
6.3	32	50	3.5	2314	35	15	140	6279
6.3	32	75	5.5	2314	49	26	89.1	6280
6.3	32	110	8.5	2314	69	41	57.7	6281
6.3	32	155	12.5	2314	97	58	39.2	6282
6.3	32	225	18.5	2314	137	88	26.5	6283
6.3	40	60	3.5	1853	36	24	71.7	6284
6.3	40	90	5.5	1853	50.3	39.7	45.6	6285
6.3	40	135	8.5	1853	71.8	63.2	29.5	6286
6.3	40	195	12.5	1853	100	95	20.1	6287
6.3	40	280	18.5	1853	143	137	13.5	6288
6.3	50	80	3.5	1481	38	42	36.7	6289
6.3	50	115	5.5	1481	53	62	23.3	6290
6.3	50	175	8.5	1481	75	100	15.1	6291
6.3	50	250	12.5	1481	105	145	10.3	6292
6.3	50	365	18.5	1481	150	215	6.94	6293
6.3	63	105	3.5	1177	40	65	18.3	6294
6.3	63	155	5.5	1177	56	99	11.7	6295
6.3	63	235	8.5	1177	80.5	155	7.55	6296
6.3	63	340	12.5	1177	113	227	5.13	6297
6.3	63	500	18.5	1177	161	339	3.47	6298
6.3	80	145	3.5	932	42	103	8.95	6299
6.3	80	220	5.5	932	59.5	161	5.7	6300
6.3	80	335	8.5	932	85.5	250	3.69	6301
6.3	80	490	12.5	932	120	370	2.51	6302
6.3	80	720	18.5	932	172	548	1.7	6303
8	40	90	5.5	3530	61.2	28.8	119	6305
8	40	135	8.5	3530	87	48	76.7	6306
8	40	190	12.5	3530	122	68	52.2	6307
8	40	275	18.5	3530	174	101	35.2	6308
8	50	75	3.5	2824	45	30	95.3	6309
8	50	110	5.5	2824	63.2	46.8	60.8	6310
8	50	160	8.5	2824	90	70	39.2	6311
8	50	230	12.5	2824	127	103	26.7	6312
8	50	335	18.5	2824	181	154	18	6313
8	63	95	3.5	2236	47	48	47.7	6314
8	63	140	5.5	2236	66	74	30.3	6315
8	63	205	8.5	2236	93.5	112	19.6	6316
8	63	300	12.5	2236	131	169	13.3	6317
8	63	435	18.5	2236	187	248	9.02	6318
8	80	125	3.5	1765	49	76	23.2	6319
8	80	180	5.5	1765	69	111	14.8	6320
8	80	285	8.5	1765	99	186	9.58	6321
8	80	410	12.5	1765	139	271	6.51	6322
8	80	600	18.5	1765	199	401	4.4	6323
8	100	170	3.5	1412	52	118	11.9	6324
8	100	260	5.5	1412	73	187	7.58	6325
8	100	390	8.5	1412	104	286	4.9	6326
8	100	570	12.5	1412	147	423	3.33	6327
8	100	835	18.5	1412	210	625	2.26	6328
10	50	75	3.5	5198	55	20	232	6329
10	50	110	5.5	5198	76	34	148	6330
10	50	165	8.5	5198	109	56	95.7	6331
10	50	230	12.5	5198	152	78	65.1	6332
10	50	335	18.5	5198	217	118	43.9	6333
10	63	96	3.5	4119	56.3	39.7	116	6334
10	63	135	5.5	4119	79	56	73.9	6335
10	63	200	8.5	4119	112	88	47.9	6652
10	63	285	12.5	4119	157	128	32.6	6336
10	63	410	18.5	4119	225	185	22	6337
10	80	115	3.5	3246	59	56	56.8	6338
10	80	175	5.5	3246	83	92	36.2	6339
10	80	255	8.5	3246	119	136	23.4	6340
10	80	370	12.5	3246	167	203	15.9	6341
10	80	540	18.5	3246	238	302	10.8	6342
10	100	150	3.5	2599	63	87	29	6343
10	100	230	5.5	2599	89	141	18.5	6344
10	100	345	8.5	2599	128	217	12	6345
10	100	500	12.5	2599	180	320	8.14	6346
10	100	730	18.5	2599	258	472	5.5	6961
10	125	205	3.5	2079	67	138	14.9	6347
10	125	315	5.5	2079	95	220	9.48	6348
10	125	475	8.5	2079	137	338	6.13	6349
10	125	690	12.5	2079	193	497	4.17	6962
10	125	1015	18.5	2079	277	738	2.82	6963
