Dt	Dm	Lo	nv	Fn	Ln	sn	c	Cat.no
0.32	1.6	3.1	3.5	5.47	2.3	0.8	6.55	5754
0.32	1.6	4.4	5.5	5.47	3.1	1.3	4.17	5755
0.32	1.6	6.3	8.5	5.47	4.2	2	2.7	5756
0.32	1.6	8.7	12.5	5.47	5.8	3	1.83	5757
0.32	1.6	12.5	18.5	5.47	8.1	4.4	1.24	5758
0.32	2	3.7	3.5	4.69	2.3	1.4	3.35	5759
0.32	2	5.3	5.5	4.69	3.1	2.2	2.14	5760
0.32	2	7.7	8.5	4.69	4.3	3.4	1.3	5761
0.32	2	10.9	12.5	4.69	5.9	5.0	0.941	5762
0.32	2	15.6	18.5	4.69	8.2	7.4	0.637	5763
0.32	2.5	4.7	3.5	3.91	2.4	2.3	1.716	5764
0.32	2.5	6.8	5.5	3.91	3.2	3.6	1.09	5765
0.32	2.5	10	8.5	3.91	4.4	5.5	0.706	5766
0.32	2.5	14.2	12.5	3.91	6.1	8.2	0.481	5767
0.32	2.5	20.6	18.5	3.91	8.5	12.1	0.324	5768
0.32	3.2	6.3	3.5	3.16	2.5	3.9	0.814	5769
0.32	3.2	9.4	5.5	3.16	3.3	6.1	0.52	5770
0.32	3.2	14	8.5	3.16	4.6	9.4	0.333	5771
0.32	3.2	20.1	12.5	3.16	6.3	13.8	0.226	5772
0.32	3.2	29.3	18.5	3.16	8.9	20.4	0.157	5773
0.32	4	8.7	3.5	2.57	2.6	6.1	0.422	5774
0.32	4	13.1	5.5	2.57	3.5	9.6	0.265	5775
0.32	4	19.8	8.5	2.57	4.9	14.9	0.177	5776
0.32	4	28.6	12.5	2.57	6.7	21.9	0.118	5777
0.32	4	41.9	18.5	2.57	9.5	32.4	0.078	5778
0.4	2	3.9	3.5	8.55	2.9	1	8.179	5779
0.4	2	5.5	5.5	8.55	3.8	1.6	5.207	5780
0.4	2	7.8	8.5	8.55	5.3	2.5	3.373	5781
0.4	2	10.9	12.5	8.55	7.2	3.7	2.295	5782
0.4	2	15.6	18.5	8.55	10.1	5.5	1.549	5783
0.4	2.5	4.7	3.5	7.33	2.9	1.7	4.187	5784
0.4	2.5	6.7	5.5	7.33	3.9	2.7	2.667	5785
0.4	2.5	9.6	8.5	7.33	5.4	4.2	1.726	5786
0.4	2.5	13.6	12.5	7.33	7.3	6.2	1.177	5787
0.4	2.5	19.5	18.5	7.33	10.3	9.2	0.794	5788
0.4	3.2	6	3.5	6	3	3	2.001	5789
0.4	3.2	8.7	5.5	6	4	4.7	1.275	5790
0.4	3.2	12.8	8.5	6	5.5	7.3	0.824	5791
0.4	3.2	18.3	12.5	6	7.6	10.7	0.559	5792
0.4	3.2	26.5	18.5	6	10.7	15.9	0.382	5793
0.4	4	7.9	3.5	4.93	3.1	4.8	1.02	5794
0.4	4	11.7	5.5	4.93	4.2	7.6	0.647	5795
0.4	4	17.5	8.5	4.93	5.8	11.7	0.422	5796
0.4	4	25.1	12.5	4.93	7.9	17.2	0.284	5797
0.4	4	36.6	18.5	4.93	11.2	25.5	0.196	5798
0.4	5	10.9	3.5	4.01	3.2	7.7	0.52	5799
0.4	5	16.4	5.5	4.01	4.4	12	0.333	5800
0.4	5	24.7	8.5	4.01	6.1	18.6	0.216	5801
0.4	5	35.8	12.5	4.01	8.4	27.4	0.147	5802
0.4	5	52.4	18.5	4.01	11.9	40.5	0.098	5803
