Dt	Dm	Lo	nv	Ln	sn	Fn	c	Cat.no	Fn	c	Cat.no
3.2	40	82.	3.5	21.2	60.8	288	4.76	6224	268	4.43	6760
3.2	40	125.	5.5	29.7	95.3	288	3.03	6225	268	2.81	6761
3.2	40	190.	8.5	42.3	148	288	1.96	6226	268	1.82	6762
3.2	40	275.	12.5	59.2	216	288	1.33	6227	268	1.24	6763
3.2	40	405.	18.5	84.5	321	288	0.9	6228	268	0.84	6764
4	20	33.5	3.5	22.2	11.3	1069	93.1	6229	994	86.58	6765
4	20	49	5.5	31	18	1069	59.2	6230	994	55.06	6766
4	20	72	8.5	44.2	27.8	1069	38.3	6231	994	35.62	6767
4	20	105	12.5	61.7	43.3	1069	26.1	6232	994	24.27	6768
4	20	150	18.5	87.7	62.3	1069	17.6	6233	994	16.37	6769
4	25	41	3.5	22.9	18.1	852	47.7	6234	792	44.36	6770
4	25	60.5	5.5	32.2	28.3	852	30.3	6235	792	28.18	6771
4	25	89.5	8.5	46	43.5	852	19.6	6236	792	18.23	6772
4	25	130.	12.5	64.5	65.5	852	13.3	6237	792	12.37	6773
4	25	185.	18.5	92.1	92.9	852	9.02	6238	792	8.39	6774
4	32	53.5	3.5	24	29.5	666	22.8	6239	619	21.2	6775
4	32	79.5	5.5	33.3	46.2	666	14.4	6240	619	13.4	6776
4	32	120	8.5	47.2	72.8	666	9.35	6241	619	8.69	6777
4	32	170.	12.5	65.8	104	666	6.35	6242	619	5.9	6778
4	32	250.	18.5	93.6	156	666	4.30	6243	619	4	6779
4	40	71	3.5	25.2	45.8	533	11.7	6244	496	10.88	6780
4	40	105.	5.5	35.1	69.9	533	7.4	6245	496	6.88	6781
4	40	160.	8.5	50	110	533	4.79	6246	496	4.45	6782
4	40	235.	12.5	69.8	165	533	3.26	6247	496	3.03	6783
4	40	340.	18.5	99.6	240	533	2.2	6248	496	2.04	6784
4	50	99.	3.5	27.4	71.6	427	5.95	6249	397	5.53	6785
4	50	150.	5.5	38.6	111	427	3.79	6250	397	3.52	6786
4	50	230.	8.5	55.4	175	427	2.45	6251	397	2.28	6787
4	50	335.	12.5	77.8	257	427	1.67	6252	397	1.55	6788
4	50	490.	18.5	111	379	427	1.13	6253	397	1.05	6789
5	25	41	3.5	27.6	13.4	1569	117	6254	1459	109	6790
5	25	60	5.5	38.5	21.5	1569	74	6255	1459	68.8	6791
5	25	87.5	8.5	54.9	32.6	1569	47.9	6256	1459	44.5	6792
5	25	125	12.5	76.7	48.3	1569	32.6	6257	1459	30.3	6793
5	25	180.	18.5	109	71	1569	22	6258	1459	20.5	6794
5	32	51	3.5	28.7	22.3	1226	55.4	6259	1140	51.5	6795
5	32	75	5.5	40.2	34.8	1226	35.3	6260	1140	32.8	6796
5	32	110	8.5	57.5	52.5	1226	22.8	6261	1140	21.2	6797
5	32	160.	12.5	80.5	79.5	1226	15.5	6262	1140	14.4	6798
5	32	230.	18.5	115	115	1226	10.5	6263	1140	9.7	6799
5	40	64	3.5	29.6	34.4	981	28.3	6264	912	26.3	6800
5	40	95.5	5.5	41.1	54.4	981	18	6265	912	16.7	6801
5	40	140	8.5	58.4	81.6	981	11.7	6266	912	10.9	6802
5	40	205.	12.5	81.4	124	981	7.94	6267	912	7.4	6803
5	40	300.	18.5	116	184	981	5.36	6268	912	5	6804
5	50	85	3.5	30.9	54.1	785	14.5	6269	730	13.5	6805
5	50	130	5.5	43.2	86.8	785	9.25	6270	730	8.6	6806
5	50	195.	8.5	61.6	133	785	5.98	6271	730	5.56	6807
5	50	280.	12.5	86.1	194	785	4.07	6272	730	3.78	6808
5	50	410.	18.5	123	287	785	2.75	6273	730	2.56	6809
5	63	120.	3.5	32.3	87.7	623	7.27	6274	579	6.76	6810
5	63	180.	5.5	45.3	135	623	4.63	6275	579	4.3	6811
5	63	275.	8.5	64.8	210	623	2.99	6276	579	2.78	6812
5	63	395.	12.5	90.8	304	623	2.09	6277	579	1.94	6813
5	63	585.	18.5	130	455	623	1.37	6278	579	1.27	6814
